Condition,Subject,Session,Epoch_ID,Window,Label
Raw,sub-01,1,sub-01_ses-1_epoch-1,0,0
Raw,sub-01,1,sub-01_ses-1_epoch-1,1,0
Raw,sub-01,1,sub-01_ses-1_epoch-1,2,0
Raw,sub-01,1,sub-01_ses-1_epoch-1,3,0
Raw,sub-01,1,sub-01_ses-1_epoch-1,4,0
Raw,sub-01,1,sub-01_ses-1_epoch-1,5,0
Raw,sub-01,1,sub-01_ses-1_epoch-1,6,0
Raw,sub-01,1,sub-01_ses-1_epoch-1,7,0
Raw,sub-01,1,sub-01_ses-1_epoch-2,0,0
Raw,sub-01,1,sub-01_ses-1_epoch-2,1,0
Raw,sub-01,1,sub-01_ses-1_epoch-2,2,0
Raw,sub-01,1,sub-01_ses-1_epoch-2,3,0
Raw,sub-01,1,sub-01_ses-1_epoch-2,4,0
Raw,sub-01,1,sub-01_ses-1_epoch-2,5,0
Raw,sub-01,1,sub-01_ses-1_epoch-2,6,0
Raw,sub-01,1,sub-01_ses-1_epoch-2,7,0
Raw,sub-01,1,sub-01_ses-1_epoch-3,0,0
Raw,sub-01,1,sub-01_ses-1_epoch-3,1,0
Raw,sub-01,1,sub-01_ses-1_epoch-3,2,0
Raw,sub-01,1,sub-01_ses-1_epoch-3,3,0
Raw,sub-01,1,sub-01_ses-1_epoch-3,4,0
Raw,sub-01,1,sub-01_ses-1_epoch-3,5,0
Raw,sub-01,1,sub-01_ses-1_epoch-3,6,0
Raw,sub-01,1,sub-01_ses-1_epoch-3,7,0
Raw,sub-01,1,sub-01_ses-1_epoch-4,0,1
Raw,sub-01,1,sub-01_ses-1_epoch-4,1,1
Raw,sub-01,1,sub-01_ses-1_epoch-4,2,1
Raw,sub-01,1,sub-01_ses-1_epoch-4,3,1
Raw,sub-01,1,sub-01_ses-1_epoch-4,4,1
Raw,sub-01,1,sub-01_ses-1_epoch-4,5,1
Raw,sub-01,1,sub-01_ses-1_epoch-4,6,1
Raw,sub-01,1,sub-01_ses-1_epoch-5,0,0
Raw,sub-01,1,sub-01_ses-1_epoch-5,1,0
Raw,sub-01,1,sub-01_ses-1_epoch-5,2,0
Raw,sub-01,1,sub-01_ses-1_epoch-5,3,0
Raw,sub-01,1,sub-01_ses-1_epoch-5,4,0
Raw,sub-01,1,sub-01_ses-1_epoch-5,5,0
Raw,sub-01,1,sub-01_ses-1_epoch-5,6,0
Raw,sub-01,1,sub-01_ses-1_epoch-5,7,0
Raw,sub-01,1,sub-01_ses-1_epoch-6,0,1
Raw,sub-01,1,sub-01_ses-1_epoch-6,1,1
Raw,sub-01,1,sub-01_ses-1_epoch-6,2,1
